feedback_id;q1;q2;q3;q4;q5;q6;q7;q8
35722903;Desktop;10;5;5;5;Yes, I want to select products that I will buy later;I have free delivery on Allegro,Allegro is the cheapest;11
35722166;Mobile Phone;10;4;4;5;No, I'm only browsing through available products;-;1978
35721972;Mobile Phone;10;4;5;5;No, I'm only browsing through available products;-;1973
35721402;Mobile Phone;10;5;5;5;Yes, I want to buy something in the next few minutes;Allegro is the cheapest;1976
35721329;Mobile Phone;10;4;3;5;Yes, I want to select products that I will buy later;I have a guarantee of safe shopping on Allegro,There is no shop in my neighborhood that offers the products that I can find on Allegro,Allegro is the most convenient shop,Allegro is the cheapest,I have free delivery on Allegro;1988
35721099;Mobile Phone;10;5;5;5;Yes, I want to buy something in the next few minutes;Allegro is the most convenient shop;1994
35720998;Desktop;9;4;3;5;No, I'm only browsing through available products;-;1965
35720756;Desktop;3;1;1;3;No, I'm only browsing through available products;-;2000
35720558;Desktop;8;4;4;4;No, I'm only browsing through available products;-;1973
35720435;Desktop;10;5;5;4;No, I'm only browsing through available products;-;1954
35719314;Mobile Phone;10;4;4;5;Yes, I want to select products that I will buy later;I have free delivery on Allegro,There is no shop in my neighborhood that offers the products that I can find on Allegro;1995
35719144;Desktop;8;5;4;4;Yes, I want to buy something in the next few minutes;Allegro is the most convenient shop,I have a guarantee of safe shopping on Allegro,Allegro is the cheapest;1966
35718977;Desktop;6;3;2;4;Yes, I want to buy something in the next few minutes;I have free delivery on Allegro,There is no shop in my neighborhood that offers the products that I can find on Allegro;1973
35718969;Desktop;10;5;4;5;Yes, I want to select products that I will buy later;Allegro is the cheapest,Allegro is the most convenient shop,I have free delivery on Allegro,There is no shop in my neighborhood that offers the products that I can find on Allegro,I have a guarantee of safe shopping on Allegro;1969
35718334;Desktop;10;4;3;4;Yes, I want to select products that I will buy later;I have free delivery on Allegro,Allegro is the most convenient shop,I have a guarantee of safe shopping on Allegro;1981
35718231;Desktop;10;5;5;5;Yes, I want to buy something in the next few minutes;Allegro is the most convenient shop,I have free delivery on Allegro,I have a guarantee of safe shopping on Allegro;1974
35717908;Desktop;10;3;5;5;Yes, I want to buy something in the next few minutes;Allegro is the most convenient shop;1978
35717519;Desktop;10;3;5;5;Yes, I want to select products that I will buy later;I have free delivery on Allegro,I have a guarantee of safe shopping on Allegro,Allegro is the most convenient shop,There is no shop in my neighborhood that offers the products that I can find on Allegro;1981
35717441;Desktop;10;3;4;5;Yes, I want to select products that I will buy later;Allegro is the most convenient shop,I have a guarantee of safe shopping on Allegro;1969
35717074;Desktop;10;5;4;5;Yes, I want to buy something in the next few minutes;Allegro is the most convenient shop,I have a guarantee of safe shopping on Allegro,I have free delivery on Allegro;1965
35716574;Mobile Phone;6;4;3;5;Yes, I want to buy something in the next few minutes;There is no shop in my neighborhood that offers the products that I can find on Allegro,Allegro is the cheapest;1997
35716075;Tablet;3;5;5;5;No, I'm only browsing through available products;-;1976
35715461;Desktop;10;5;5;5;No, I'm only browsing through available products;-;1979
35714937;Mobile Phone;5;2;3;2;Yes, I want to select products that I will buy later;I have a guarantee of safe shopping on Allegro,I have free delivery on Allegro,Allegro is the most convenient shop;1979
35714697;Desktop;10;5;3;5;Yes, I want to buy something in the next few minutes;Allegro is the cheapest;1998
35714311;Mobile Phone;10;5;5;5;No, I'm only browsing through available products;-;1990
35714062;Desktop;10;5;4;5;Yes, I want to buy something in the next few minutes;Allegro is the most convenient shop,I have a guarantee of safe shopping on Allegro,There is no shop in my neighborhood that offers the products that I can find on Allegro,I have free delivery on Allegro;1962
35713195;Desktop;10;3;3;4;Yes, I want to select products that I will buy later;There is no shop in my neighborhood that offers the products that I can find on Allegro;1966
35712697;Desktop;7;4;4;4;Yes, I want to select products that I will buy later;I have free delivery on Allegro;1950
35711266;Desktop;10;5;4;4;Yes, I want to select products that I will buy later;Allegro is the cheapest,I have a guarantee of safe shopping on Allegro,Allegro is the most convenient shop;1952
35710861;Desktop;7;3;3;2;No, I'm only browsing through available products;-;6666
35710643;Desktop;10;4;5;5;Yes, I want to buy something in the next few minutes;I have a guarantee of safe shopping on Allegro;1998
35710571;Mobile Phone;10;5;5;5;No, I'm only browsing through available products;-;1984
35709539;Desktop;10;5;5;5;Yes, I want to select products that I will buy later;I have a guarantee of safe shopping on Allegro;1967
35709197;Desktop;9;5;4;5;Yes, I want to select products that I will buy later;Allegro is the most convenient shop,There is no shop in my neighborhood that offers the products that I can find on Allegro,I have free delivery on Allegro;1967
35709179;Desktop;10;3;3;4;Yes, I want to select products that I will buy later;I have a guarantee of safe shopping on Allegro;1971
35708813;Desktop;10;5;5;5;Yes, I want to buy something in the next few minutes;I have free delivery on Allegro;1992
35708783;Desktop;5;1;2;4;Yes, I want to select products that I will buy later;I have free delivery on Allegro;1979
35708703;Desktop;10;5;5;5;Yes, I want to buy something in the next few minutes;Allegro is the cheapest,I have free delivery on Allegro,I have a guarantee of safe shopping on Allegro,Allegro is the most convenient shop;1974
35708458;Tablet;5;3;5;4;No, I'm only browsing through available products;-;1980
35708318;Tablet;8;4;5;5;Yes, I want to select products that I will buy later;Allegro is the most convenient shop,I have a guarantee of safe shopping on Allegro;1991
35707848;Desktop;5;3;3;2;No, I'm only browsing through available products;-;1975
35707637;Desktop;10;5;5;5;Yes, I want to select products that I will buy later;I have a guarantee of safe shopping on Allegro,Allegro is the cheapest,Allegro is the most convenient shop,There is no shop in my neighborhood that offers the products that I can find on Allegro,I have free delivery on Allegro;1957
35707496;Mobile Phone;8;3;4;4;Yes, I want to select products that I will buy later;There is no shop in my neighborhood that offers the products that I can find on Allegro;1983
35707248;Desktop;3;2;3;4;Yes, I want to buy something in the next few minutes;There is no shop in my neighborhood that offers the products that I can find on Allegro,Allegro is the most convenient shop,I have free delivery on Allegro;1962
35706428;Desktop;5;3;3;4;No, I'm only browsing through available products;-;1979
35706163;Tablet;10;4;4;4;No, I'm only browsing through available products;-;1974
35705956;Desktop;10;5;5;5;Yes, I want to select products that I will buy later;Allegro is the most convenient shop,I have free delivery on Allegro,I have a guarantee of safe shopping on Allegro,Allegro is the cheapest;1971
35705818;Mobile Phone;10;5;5;5;Yes, I want to select products that I will buy later;I have free delivery on Allegro,There is no shop in my neighborhood that offers the products that I can find on Allegro,I have a guarantee of safe shopping on Allegro;1980
35705669;Tablet;10;5;5;5;Yes, I want to select products that I will buy later;Allegro is the cheapest;1967
35705599;Desktop;10;5;5;5;No, I'm only browsing through available products;-;1976
35705211;Desktop;10;4;4;4;Yes, I want to select products that I will buy later;Allegro is the most convenient shop,I have free delivery on Allegro;1970
35704630;Desktop;10;4;3;5;Yes, I want to buy something in the next few minutes;There is no shop in my neighborhood that offers the products that I can find on Allegro;1993
35704575;Desktop;9;4;4;4;Yes, I want to select products that I will buy later;Allegro is the most convenient shop;1968
35704148;Mobile Phone;8;4;4;4;Yes, I want to select products that I will buy later;Allegro is the most convenient shop;1975
35703587;Desktop;10;5;4;4;Yes, I want to buy something in the next few minutes;There is no shop in my neighborhood that offers the products that I can find on Allegro,I have free delivery on Allegro;1977
35703425;Desktop;10;4;4;5;No, I'm only browsing through available products;-;1973
35703196;Desktop;10;5;5;5;Yes, I want to buy something in the next few minutes;There is no shop in my neighborhood that offers the products that I can find on Allegro,I have free delivery on Allegro,I have a guarantee of safe shopping on Allegro;1977
35702927;Desktop;10;4;4;5;No, I'm only browsing through available products;-;1971
35702016;Desktop;10;4;4;5;Yes, I want to select products that I will buy later;I have free delivery on Allegro,Allegro is the most convenient shop,Other reasons;111
35701674;Mobile Phone;2;2;1;1;Yes, I want to select products that I will buy later;Other reasons;1999
35701489;Desktop;10;5;5;5;Yes, I want to buy something in the next few minutes;Allegro is the cheapest;1971
35699184;Desktop;4;1;3;2;No, I'm only browsing through available products;-;ssss
35699104;Mobile Phone;0;1;1;1;No, I'm only browsing through available products;-;1999
35699053;Desktop;10;5;5;4;Yes, I want to buy something in the next few minutes;Allegro is the most convenient shop,Allegro is the cheapest,There is no shop in my neighborhood that offers the products that I can find on Allegro;1980
35698755;Mobile Phone;5;3;3;2;No, I'm only browsing through available products;-;1997
35697636;Desktop;10;4;4;4;Yes, I want to select products that I will buy later;Allegro is the most convenient shop,I have a guarantee of safe shopping on Allegro,I have free delivery on Allegro;1977
35697145;Desktop;10;4;5;4;Yes, I want to buy something in the next few minutes;Allegro is the most convenient shop,Allegro is the cheapest,I have free delivery on Allegro,I have a guarantee of safe shopping on Allegro;1990
35697005;Tablet;10;4;3;5;Yes, I want to buy something in the next few minutes;Allegro is the most convenient shop;1989
35696355;Desktop;10;4;3;4;Yes, I want to select products that I will buy later;I have free delivery on Allegro;1972
35696206;Mobile Phone;6;5;4;4;No, I'm only browsing through available products;-;1997
35696204;Desktop;10;4;4;5;No, I'm only browsing through available products;-;1993
35695871;Mobile Phone;10;5;5;5;No, I'm only browsing through available products;-;1978
35695789;Tablet;9;3;3;4;Yes, I want to select products that I will buy later;I have free delivery on Allegro;1989
35695691;Desktop;10;4;4;5;Yes, I want to select products that I will buy later;I have a guarantee of safe shopping on Allegro,Allegro is the most convenient shop,There is no shop in my neighborhood that offers the products that I can find on Allegro;1955
35695684;Desktop;8;3;5;5;Yes, I want to select products that I will buy later;Allegro is the most convenient shop,I have free delivery on Allegro,I have a guarantee of safe shopping on Allegro;1956
35695307;Desktop;10;4;4;5;Yes, I want to select products that I will buy later;Allegro is the most convenient shop,Allegro is the cheapest;2003
35694997;Desktop;9;4;3;4;Yes, I want to buy something in the next few minutes;I have a guarantee of safe shopping on Allegro,Allegro is the most convenient shop,I have free delivery on Allegro;1983
35694365;Desktop;10;5;4;4;Yes, I want to select products that I will buy later;I have a guarantee of safe shopping on Allegro;1956
35694252;Desktop;10;5;5;5;Yes, I want to select products that I will buy later;Allegro is the most convenient shop;1990
35694230;Mobile Phone;10;5;5;5;No, I'm only browsing through available products;-;1981
35693260;Desktop;10;3;5;5;Yes, I want to buy something in the next few minutes;Other reasons;1957
35693233;Mobile Phone;8;2;3;3;Yes, I want to select products that I will buy later;I have a guarantee of safe shopping on Allegro;1989
